Thu, 09 Jun 2022 20:19:05 37580 MainThread base_page.py[line:18] INFO This is info message
Thu, 09 Jun 2022 20:19:35 37596 MainThread base_page.py[line:18] INFO This is info message
2022-06-24 20:18:58,282connectionpool.pyWARNINGRetrying (Retry(total=2, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x04EB3CA0>: Failed to establish a new connection: [WinError 10061] 由于目标计算机积极拒绝，无法连接。')': /wd/hub/session
2022-06-24 20:19:00,331connectionpool.pyWARNINGRetrying (Retry(total=1, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x04EB3EE0>: Failed to establish a new connection: [WinError 10061] 由于目标计算机积极拒绝，无法连接。')': /wd/hub/session
2022-06-24 20:19:02,375connectionpool.pyWARNINGRetrying (Retry(total=0, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x04F23280>: Failed to establish a new connection: [WinError 10061] 由于目标计算机积极拒绝，无法连接。')': /wd/hub/session
2022-06-24 20:19:55,574base_page.pyINFO('xpath', "//input[@id='mobile']")输入框输入13761362771
2022-06-24 20:19:55,575base_page.pyINFO定位元素('xpath', "//input[@id='mobile']")
2022-06-24 20:19:55,672base_page.pyINFO('xpath', "//input[@id='pwd']")输入框输入qinyujie008
2022-06-24 20:19:55,672base_page.pyINFO定位元素('xpath', "//input[@id='pwd']")
2022-06-24 20:19:55,771base_page.pyINFO点击元素('xpath', "//a[text()='登录并授权']")
2022-06-24 20:19:55,771base_page.pyINFO定位元素('xpath', "//a[text()='登录并授权']")
2022-06-24 20:21:42,956connectionpool.pyWARNINGRetrying (Retry(total=2, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x05263C58>: Failed to establish a new connection: [WinError 10061] 由于目标计算机积极拒绝，无法连接。')': /wd/hub/session
2022-06-24 20:21:44,984connectionpool.pyWARNINGRetrying (Retry(total=1, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x05263E98>: Failed to establish a new connection: [WinError 10061] 由于目标计算机积极拒绝，无法连接。')': /wd/hub/session
2022-06-24 20:21:47,038connectionpool.pyWARNINGRetrying (Retry(total=0, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x052D2238>: Failed to establish a new connection: [WinError 10061] 由于目标计算机积极拒绝，无法连接。')': /wd/hub/session
2022-06-24 20:22:26,443base_page.pyINFO('xpath', "//input[@id='mobile']")输入框输入13761362771
2022-06-24 20:22:26,443base_page.pyINFO定位元素('xpath', "//input[@id='mobile']")
2022-06-24 20:22:26,527base_page.pyINFO('xpath', "//input[@id='pwd']")输入框输入qinyujie008
2022-06-24 20:22:26,528base_page.pyINFO定位元素('xpath', "//input[@id='pwd']")
2022-06-24 20:22:26,663base_page.pyINFO点击元素('xpath', "//a[text()='登录并授权']")
2022-06-24 20:22:26,663base_page.pyINFO定位元素('xpath', "//a[text()='登录并授权']")
2022-06-24 20:22:33,098base_page.pyINFO点击元素('xpath', "//span[text()='招聘管理']/..")
2022-06-24 20:22:33,098base_page.pyINFO定位元素('xpath', "//span[text()='招聘管理']/..")
2022-06-24 20:47:27,558base_page.pyINFO('xpath', "//input[@id='mobile']")输入框输入13761362771
2022-06-24 20:47:27,558base_page.pyINFO定位元素('xpath', "//input[@id='mobile']")
2022-06-24 20:47:27,710base_page.pyINFO('xpath', "//input[@id='pwd']")输入框输入qinyujie008
2022-06-24 20:47:27,710base_page.pyINFO定位元素('xpath', "//input[@id='pwd']")
2022-06-24 20:47:27,849base_page.pyINFO点击元素('xpath', "//a[text()='登录并授权']")
2022-06-24 20:47:27,849base_page.pyINFO定位元素('xpath', "//a[text()='登录并授权']")
2022-06-24 20:47:34,127base_page.pyINFO点击元素('xpath', "//span[text()='审批管理']/..")
2022-06-24 20:47:34,127base_page.pyINFO定位元素('xpath', "//span[text()='审批管理']/..")
2022-06-24 20:47:35,594base_page.pyINFO点击元素('xpath', '//*[@id="popContainer"]/section/aside/div/ul/li[3]/ul/li[2]/a')
2022-06-24 20:47:35,594base_page.pyINFO定位元素('xpath', '//*[@id="popContainer"]/section/aside/div/ul/li[3]/ul/li[2]/a')
2022-06-24 20:47:36,340base_page.pyINFO点击元素('xpath', "//span[text()='工资付款 ']/../../label[3]")
2022-06-24 20:47:36,340base_page.pyINFO定位元素('xpath', "//span[text()='工资付款 ']/../../label[3]")
2022-06-24 20:47:39,843base_page.pyINFO点击元素('xpath', '//div[@class="ant-table-fixed-right"]/div/div/table/tbody/tr[1]/td/a')
2022-06-24 20:47:39,843base_page.pyINFO定位元素('xpath', '//div[@class="ant-table-fixed-right"]/div/div/table/tbody/tr[1]/td/a')
2022-06-24 20:47:40,046base_page.pyINFO点击元素('xpath', '//button[@class="ant-drawer-close"]')
2022-06-24 20:47:40,046base_page.pyINFO定位元素('xpath', '//button[@class="ant-drawer-close"]')
2022-06-24 20:47:40,494base_page.pyINFO点击元素('xpath', "//span[text()='招聘管理']/..")
2022-06-24 20:47:40,494base_page.pyINFO定位元素('xpath', "//span[text()='招聘管理']/..")
2022-06-24 20:47:42,110base_page.pyINFO点击元素('xpath', "//a[text()='招聘中心']/..")
2022-06-24 20:47:42,110base_page.pyINFO定位元素('xpath', "//a[text()='招聘中心']/..")
2022-06-24 20:47:42,473base_page.pyINFO点击元素('xpath', '/html/body/div[1]/section/section/main/div/div[2]/div/div[2]/div/div[1]/div[1]/div/div[3]/button')
2022-06-24 20:47:42,474base_page.pyINFO定位元素('xpath', '/html/body/div[1]/section/section/main/div/div[2]/div/div[2]/div/div[1]/div[1]/div/div[3]/button')
2022-06-24 20:47:43,473base_page.pyINFO点击元素('xpath', "//div[text()='请选择需求']")
2022-06-24 20:47:43,474base_page.pyINFO定位元素('xpath', "//div[text()='请选择需求']")
2022-06-24 20:47:45,623base_page.pyINFO点击元素('xpath', "//li[@title='测试2022-06-16']")
2022-06-24 20:47:45,623base_page.pyINFO定位元素('xpath', "//li[@title='测试2022-06-16']")
2022-06-24 20:47:45,695base_page.pyINFO点击元素('xpath', "//span[text()='下一步']/..")
2022-06-24 20:47:45,695base_page.pyINFO定位元素('xpath', "//span[text()='下一步']/..")
2022-06-24 20:47:46,958base_page.pyINFO('xpath', "//input[@accept='.xlsx, .xls']")输入框输入D:\auto_test\script\报备导入测试数据3条.xlsx
2022-06-24 20:47:46,958base_page.pyINFO定位元素('xpath', "//input[@accept='.xlsx, .xls']")
2022-06-24 20:47:48,031base_page.pyINFO点击元素('xpath', "//span[text()='下一步']/..")
2022-06-24 20:47:48,031base_page.pyINFO定位元素('xpath', "//span[text()='下一步']/..")
2022-06-24 20:47:48,077base_page.pyINFO断言有无上传成功！1111
2022-06-24 20:47:48,077base_page.pyINFO定位元素('xpath', "//*[@class='ant-message-custom-content ant-message-success']/span")
2022-06-24 20:47:48,427base_page.pyINFO点击元素('xpath', "//span[text()='招聘管理']/..")
2022-06-24 20:47:48,427base_page.pyINFO定位元素('xpath', "//span[text()='招聘管理']/..")
2022-06-24 20:50:02,950base_page.pyINFO('xpath', "//input[@id='mobile']")输入框输入13761362771
2022-06-24 20:50:02,950base_page.pyINFO定位元素('xpath', "//input[@id='mobile']")
2022-06-24 20:50:03,044base_page.pyINFO('xpath', "//input[@id='pwd']")输入框输入qinyujie008
2022-06-24 20:50:03,044base_page.pyINFO定位元素('xpath', "//input[@id='pwd']")
2022-06-24 20:50:03,144base_page.pyINFO点击元素('xpath', "//a[text()='登录并授权']")
2022-06-24 20:50:03,144base_page.pyINFO定位元素('xpath', "//a[text()='登录并授权']")
2022-06-24 20:50:09,732base_page.pyINFO点击元素('xpath', "//span[text()='审批管理']/..")
2022-06-24 20:50:09,732base_page.pyINFO定位元素('xpath', "//span[text()='审批管理']/..")
2022-06-24 20:50:11,242base_page.pyINFO点击元素('xpath', '//*[@id="popContainer"]/section/aside/div/ul/li[3]/ul/li[2]/a')
2022-06-24 20:50:11,242base_page.pyINFO定位元素('xpath', '//*[@id="popContainer"]/section/aside/div/ul/li[3]/ul/li[2]/a')
2022-06-24 20:50:12,677base_page.pyINFO点击元素('xpath', "//span[text()='工资付款 ']/../../label[3]")
2022-06-24 20:50:12,677base_page.pyINFO定位元素('xpath', "//span[text()='工资付款 ']/../../label[3]")
2022-06-24 20:50:16,260base_page.pyINFO点击元素('xpath', '//div[@class="ant-table-fixed-right"]/div/div/table/tbody/tr[1]/td/a')
2022-06-24 20:50:16,260base_page.pyINFO定位元素('xpath', '//div[@class="ant-table-fixed-right"]/div/div/table/tbody/tr[1]/td/a')
2022-06-24 20:50:16,504base_page.pyINFO点击元素('xpath', '//button[@class="ant-drawer-close"]')
2022-06-24 20:50:16,504base_page.pyINFO定位元素('xpath', '//button[@class="ant-drawer-close"]')
2022-06-24 20:50:19,745base_page.pyINFO点击元素('xpath', "//span[text()='招聘管理']/..")
2022-06-24 20:50:19,745base_page.pyINFO定位元素('xpath', "//span[text()='招聘管理']/..")
2022-06-24 20:50:21,377base_page.pyINFO点击元素('xpath', "//a[text()='招聘中心']/..")
2022-06-24 20:50:21,377base_page.pyINFO定位元素('xpath', "//a[text()='招聘中心']/..")
2022-06-24 20:50:21,823base_page.pyINFO点击元素('xpath', '/html/body/div[1]/section/section/main/div/div[2]/div/div[2]/div/div[1]/div[1]/div/div[3]/button')
2022-06-24 20:50:21,823base_page.pyINFO定位元素('xpath', '/html/body/div[1]/section/section/main/div/div[2]/div/div[2]/div/div[1]/div[1]/div/div[3]/button')
2022-06-24 20:50:22,757base_page.pyINFO点击元素('xpath', "//div[text()='请选择需求']")
2022-06-24 20:50:22,757base_page.pyINFO定位元素('xpath', "//div[text()='请选择需求']")
2022-06-24 20:50:24,894base_page.pyINFO点击元素('xpath', "//li[@title='测试2022-06-16']")
2022-06-24 20:50:24,895base_page.pyINFO定位元素('xpath', "//li[@title='测试2022-06-16']")
2022-06-24 20:50:24,991base_page.pyINFO点击元素('xpath', "//span[text()='下一步']/..")
2022-06-24 20:50:24,991base_page.pyINFO定位元素('xpath', "//span[text()='下一步']/..")
2022-06-24 20:50:26,236base_page.pyINFO('xpath', "//input[@accept='.xlsx, .xls']")输入框输入D:\auto_test\script\报备导入测试数据3条.xlsx
2022-06-24 20:50:26,236base_page.pyINFO定位元素('xpath', "//input[@accept='.xlsx, .xls']")
2022-06-24 20:50:27,307base_page.pyINFO点击元素('xpath', "//span[text()='下一步']/..")
2022-06-24 20:50:27,307base_page.pyINFO定位元素('xpath', "//span[text()='下一步']/..")
2022-06-24 20:50:27,363base_page.pyINFO断言有无上传成功！1111
2022-06-24 20:50:27,363base_page.pyINFO定位元素('xpath', "//*[@class='ant-message-custom-content ant-message-success']/span")
2022-06-24 20:50:27,434base_page.pyINFO点击元素('xpath', "//span[text()='招聘管理']/..")
2022-06-24 20:50:27,434base_page.pyINFO定位元素('xpath', "//span[text()='招聘管理']/..")
2022-06-24 21:52:59,412base_page.pyINFO('xpath', "//input[@id='mobile']")输入框输入13761362771
2022-06-24 21:52:59,412base_page.pyINFO定位元素('xpath', "//input[@id='mobile']")
2022-06-24 21:52:59,503base_page.pyINFO('xpath', "//input[@id='pwd']")输入框输入qinyujie008
2022-06-24 21:52:59,503base_page.pyINFO定位元素('xpath', "//input[@id='pwd']")
2022-06-24 21:52:59,606base_page.pyINFO点击元素('xpath', "//a[text()='登录并授权']")
2022-06-24 21:52:59,606base_page.pyINFO定位元素('xpath', "//a[text()='登录并授权']")
2022-06-24 21:53:07,375base_page.pyINFO点击元素('xpath', "//span[text()='审批管理']/..")
2022-06-24 21:53:07,375base_page.pyINFO定位元素('xpath', "//span[text()='审批管理']/..")
2022-06-24 21:53:09,020base_page.pyINFO点击元素('xpath', '//*[@id="popContainer"]/section/aside/div/ul/li[3]/ul/li[2]/a')
2022-06-24 21:53:09,020base_page.pyINFO定位元素('xpath', '//*[@id="popContainer"]/section/aside/div/ul/li[3]/ul/li[2]/a')
2022-06-24 21:53:09,743base_page.pyINFO点击元素('xpath', "//span[text()='工资付款 ']/../../label[3]")
2022-06-24 21:53:09,744base_page.pyINFO定位元素('xpath', "//span[text()='工资付款 ']/../../label[3]")
2022-06-24 21:53:13,464base_page.pyINFO点击元素('xpath', '//div[@class="ant-table-fixed-right"]/div/div/table/tbody/tr[1]/td/a')
2022-06-24 21:53:13,464base_page.pyINFO定位元素('xpath', '//div[@class="ant-table-fixed-right"]/div/div/table/tbody/tr[1]/td/a')
2022-06-24 21:53:13,645base_page.pyINFO点击元素('xpath', '//button[@class="ant-drawer-close"]')
2022-06-24 21:53:13,646base_page.pyINFO定位元素('xpath', '//button[@class="ant-drawer-close"]')
2022-06-24 21:53:14,118base_page.pyINFO点击元素('xpath', "//span[text()='招聘管理']/..")
2022-06-24 21:53:14,118base_page.pyINFO定位元素('xpath', "//span[text()='招聘管理']/..")
2022-06-24 21:53:15,920base_page.pyINFO点击元素('xpath', "//a[text()='招聘中心']/..")
2022-06-24 21:53:15,921base_page.pyINFO定位元素('xpath', "//a[text()='招聘中心']/..")
2022-06-24 21:53:16,307base_page.pyINFO点击元素('xpath', '/html/body/div[1]/section/section/main/div/div[2]/div/div[2]/div/div[1]/div[1]/div/div[3]/button')
2022-06-24 21:53:16,307base_page.pyINFO定位元素('xpath', '/html/body/div[1]/section/section/main/div/div[2]/div/div[2]/div/div[1]/div[1]/div/div[3]/button')
2022-06-24 21:53:17,274base_page.pyINFO点击元素('xpath', "//div[text()='请选择需求']")
2022-06-24 21:53:17,274base_page.pyINFO定位元素('xpath', "//div[text()='请选择需求']")
2022-06-24 21:53:19,363base_page.pyINFO点击元素('xpath', "//li[@title='测试2022-06-16']")
2022-06-24 21:53:19,364base_page.pyINFO定位元素('xpath', "//li[@title='测试2022-06-16']")
2022-06-24 21:53:19,433base_page.pyINFO点击元素('xpath', "//span[text()='下一步']/..")
2022-06-24 21:53:19,433base_page.pyINFO定位元素('xpath', "//span[text()='下一步']/..")
2022-06-24 21:53:20,668base_page.pyINFO('xpath', "//input[@accept='.xlsx, .xls']")输入框输入D:\auto_test\script\报备导入测试数据3条.xlsx
2022-06-24 21:53:20,668base_page.pyINFO定位元素('xpath', "//input[@accept='.xlsx, .xls']")
2022-06-24 21:53:21,774base_page.pyINFO点击元素('xpath', "//span[text()='下一步']/..")
2022-06-24 21:53:21,774base_page.pyINFO定位元素('xpath', "//span[text()='下一步']/..")
2022-06-24 21:53:21,827base_page.pyINFO断言有无上传成功！1111
2022-06-24 21:53:21,827base_page.pyINFO定位元素('xpath', "//*[@class='ant-message-custom-content ant-message-success']/span")
2022-06-24 21:53:21,907base_page.pyINFO点击元素('xpath', "//span[text()='招聘管理']/..")
2022-06-24 21:53:21,907base_page.pyINFO定位元素('xpath', "//span[text()='招聘管理']/..")
2022-06-24 23:05:43,743base_page.pyINFO('xpath', "//input[@id='mobile']")输入框输入13761362771
2022-06-24 23:05:43,744base_page.pyINFO定位元素('xpath', "//input[@id='mobile']")
2022-06-24 23:05:43,886base_page.pyINFO('xpath', "//input[@id='pwd']")输入框输入qinyujie008
2022-06-24 23:05:43,886base_page.pyINFO定位元素('xpath', "//input[@id='pwd']")
2022-06-24 23:05:44,053base_page.pyINFO点击元素('xpath', "//a[text()='登录并授权']")
2022-06-24 23:05:44,053base_page.pyINFO定位元素('xpath', "//a[text()='登录并授权']")
2022-06-24 23:05:52,673base_page.pyINFO点击元素('xpath', "//span[text()='审批管理']/..")
2022-06-24 23:05:52,673base_page.pyINFO定位元素('xpath', "//span[text()='审批管理']/..")
2022-06-24 23:05:54,895base_page.pyINFO点击元素('xpath', '//*[@id="popContainer"]/section/aside/div/ul/li[3]/ul/li[2]/a')
2022-06-24 23:05:54,896base_page.pyINFO定位元素('xpath', '//*[@id="popContainer"]/section/aside/div/ul/li[3]/ul/li[2]/a')
2022-06-24 23:05:55,685base_page.pyINFO点击元素('xpath', "//span[text()='工资付款 ']/../../label[3]")
2022-06-24 23:05:55,685base_page.pyINFO定位元素('xpath', "//span[text()='工资付款 ']/../../label[3]")
2022-06-24 23:05:59,261base_page.pyINFO点击元素('xpath', '//div[@class="ant-table-fixed-right"]/div/div/table/tbody/tr[1]/td/a')
2022-06-24 23:05:59,261base_page.pyINFO定位元素('xpath', '//div[@class="ant-table-fixed-right"]/div/div/table/tbody/tr[1]/td/a')
2022-06-24 23:05:59,489base_page.pyINFO点击元素('xpath', '//button[@class="ant-drawer-close"]')
2022-06-24 23:05:59,490base_page.pyINFO定位元素('xpath', '//button[@class="ant-drawer-close"]')
2022-06-24 23:05:59,981base_page.pyINFO点击元素('xpath', "//span[text()='招聘管理']/..")
2022-06-24 23:05:59,982base_page.pyINFO定位元素('xpath', "//span[text()='招聘管理']/..")
2022-06-24 23:06:01,557base_page.pyINFO点击元素('xpath', "//a[text()='招聘中心']/..")
2022-06-24 23:06:01,557base_page.pyINFO定位元素('xpath', "//a[text()='招聘中心']/..")
2022-06-24 23:06:02,042base_page.pyINFO点击元素('xpath', '/html/body/div[1]/section/section/main/div/div[2]/div/div[2]/div/div[1]/div[1]/div/div[3]/button')
2022-06-24 23:06:02,042base_page.pyINFO定位元素('xpath', '/html/body/div[1]/section/section/main/div/div[2]/div/div[2]/div/div[1]/div[1]/div/div[3]/button')
2022-06-24 23:06:03,136base_page.pyINFO点击元素('xpath', "//div[text()='请选择需求']")
2022-06-24 23:06:03,136base_page.pyINFO定位元素('xpath', "//div[text()='请选择需求']")
2022-06-24 23:06:05,285base_page.pyINFO点击元素('xpath', "//li[@title='测试2022-06-16']")
2022-06-24 23:06:05,286base_page.pyINFO定位元素('xpath', "//li[@title='测试2022-06-16']")
2022-06-24 23:06:05,395base_page.pyINFO点击元素('xpath', "//span[text()='下一步']/..")
2022-06-24 23:06:05,395base_page.pyINFO定位元素('xpath', "//span[text()='下一步']/..")
2022-06-24 23:06:06,699base_page.pyINFO('xpath', "//input[@accept='.xlsx, .xls']")输入框输入D:\auto_test\script\报备导入测试数据3条.xlsx
2022-06-24 23:06:06,700base_page.pyINFO定位元素('xpath', "//input[@accept='.xlsx, .xls']")
2022-06-24 23:06:07,815base_page.pyINFO点击元素('xpath', "//span[text()='下一步']/..")
2022-06-24 23:06:07,816base_page.pyINFO定位元素('xpath', "//span[text()='下一步']/..")
2022-06-24 23:06:07,883base_page.pyINFO断言有无上传成功！1111
2022-06-24 23:06:07,883base_page.pyINFO定位元素('xpath', "//*[@class='ant-message-custom-content ant-message-success']/span")
2022-06-24 23:06:07,966base_page.pyINFO点击元素('xpath', "//span[text()='招聘管理']/..")
2022-06-24 23:06:07,966base_page.pyINFO定位元素('xpath', "//span[text()='招聘管理']/..")
2022-06-25 10:20:05,292connectionpool.pyWARNINGRetrying (Retry(total=2, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x05444E50>: Failed to establish a new connection: [WinError 10061] 由于目标计算机积极拒绝，无法连接。')': /wd/hub/session
2022-06-25 10:20:07,345connectionpool.pyWARNINGRetrying (Retry(total=1, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x054B80A0>: Failed to establish a new connection: [WinError 10061] 由于目标计算机积极拒绝，无法连接。')': /wd/hub/session
2022-06-25 10:20:09,390connectionpool.pyWARNINGRetrying (Retry(total=0, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x054B83E8>: Failed to establish a new connection: [WinError 10061] 由于目标计算机积极拒绝，无法连接。')': /wd/hub/session
2022-06-25 10:22:08,388base_page.pyINFO('xpath', "//input[@id='mobile']")输入框输入13761362771
2022-06-25 10:22:08,388base_page.pyINFO定位元素('xpath', "//input[@id='mobile']")
2022-06-25 10:22:08,498base_page.pyINFO('xpath', "//input[@id='pwd']")输入框输入qinyujie008
2022-06-25 10:22:08,498base_page.pyINFO定位元素('xpath', "//input[@id='pwd']")
2022-06-25 10:22:08,608base_page.pyINFO点击元素('xpath', "//a[text()='登录并授权']")
2022-06-25 10:22:08,608base_page.pyINFO定位元素('xpath', "//a[text()='登录并授权']")
2022-06-25 10:22:16,631base_page.pyINFO点击元素('xpath', "//span[text()='审批管理']/..")
2022-06-25 10:22:16,631base_page.pyINFO定位元素('xpath', "//span[text()='审批管理']/..")
2022-06-25 10:22:18,324base_page.pyINFO点击元素('xpath', '//*[@id="popContainer"]/section/aside/div/ul/li[3]/ul/li[2]/a')
2022-06-25 10:22:18,324base_page.pyINFO定位元素('xpath', '//*[@id="popContainer"]/section/aside/div/ul/li[3]/ul/li[2]/a')
2022-06-25 10:22:19,033base_page.pyINFO点击元素('xpath', "//span[text()='工资付款 ']/../../label[3]")
2022-06-25 10:22:19,033base_page.pyINFO定位元素('xpath', "//span[text()='工资付款 ']/../../label[3]")
2022-06-25 10:22:22,553base_page.pyINFO点击元素('xpath', '//div[@class="ant-table-fixed-right"]/div/div/table/tbody/tr[1]/td/a')
2022-06-25 10:22:22,553base_page.pyINFO定位元素('xpath', '//div[@class="ant-table-fixed-right"]/div/div/table/tbody/tr[1]/td/a')
2022-06-25 10:22:22,780base_page.pyINFO点击元素('xpath', '//button[@class="ant-drawer-close"]')
2022-06-25 10:22:22,781base_page.pyINFO定位元素('xpath', '//button[@class="ant-drawer-close"]')
2022-06-25 10:22:23,188base_page.pyINFO点击元素('xpath', "//span[text()='招聘管理']/..")
2022-06-25 10:22:23,189base_page.pyINFO定位元素('xpath', "//span[text()='招聘管理']/..")
2022-06-25 10:22:24,381base_page.pyINFO点击元素('xpath', "//a[text()='招聘中心']/..")
2022-06-25 10:22:24,381base_page.pyINFO定位元素('xpath', "//a[text()='招聘中心']/..")
2022-06-25 10:22:24,744base_page.pyINFO点击元素('xpath', '/html/body/div[1]/section/section/main/div/div[2]/div/div[2]/div/div[1]/div[1]/div/div[3]/button')
2022-06-25 10:22:24,745base_page.pyINFO定位元素('xpath', '/html/body/div[1]/section/section/main/div/div[2]/div/div[2]/div/div[1]/div[1]/div/div[3]/button')
2022-06-25 10:22:25,736base_page.pyINFO点击元素('xpath', "//div[text()='请选择需求']")
2022-06-25 10:22:25,737base_page.pyINFO定位元素('xpath', "//div[text()='请选择需求']")
2022-06-25 10:22:27,850base_page.pyINFO点击元素('xpath', "//li[@title='测试2022-06-16']")
2022-06-25 10:22:27,850base_page.pyINFO定位元素('xpath', "//li[@title='测试2022-06-16']")
2022-06-25 10:22:27,928base_page.pyINFO点击元素('xpath', "//span[text()='下一步']/..")
2022-06-25 10:22:27,929base_page.pyINFO定位元素('xpath', "//span[text()='下一步']/..")
2022-06-25 10:22:29,175base_page.pyINFO('xpath', "//input[@accept='.xlsx, .xls']")输入框输入D:\auto_test\script\报备导入测试数据3条.xlsx
2022-06-25 10:22:29,175base_page.pyINFO定位元素('xpath', "//input[@accept='.xlsx, .xls']")
2022-06-25 10:22:30,277base_page.pyINFO点击元素('xpath', "//span[text()='下一步']/..")
2022-06-25 10:22:30,278base_page.pyINFO定位元素('xpath', "//span[text()='下一步']/..")
2022-06-25 10:22:30,361base_page.pyINFO断言有无上传成功！1111
2022-06-25 10:22:30,361base_page.pyINFO定位元素('xpath', "//*[@class='ant-message-custom-content ant-message-success']/span")
2022-06-25 10:22:30,444base_page.pyINFO点击元素('xpath', "//span[text()='招聘管理']/..")
2022-06-25 10:22:30,444base_page.pyINFO定位元素('xpath', "//span[text()='招聘管理']/..")
2022-06-25 10:23:48,230base_page.pyINFO('xpath', "//input[@id='mobile']")输入框输入13761362771
2022-06-25 10:23:48,230base_page.pyINFO定位元素('xpath', "//input[@id='mobile']")
2022-06-25 10:23:48,338base_page.pyINFO('xpath', "//input[@id='pwd']")输入框输入qinyujie008
2022-06-25 10:23:48,338base_page.pyINFO定位元素('xpath', "//input[@id='pwd']")
2022-06-25 10:23:48,458base_page.pyINFO点击元素('xpath', "//a[text()='登录并授权']")
2022-06-25 10:23:48,458base_page.pyINFO定位元素('xpath', "//a[text()='登录并授权']")
2022-06-25 10:23:54,979base_page.pyINFO点击元素('xpath', "//span[text()='审批管理']/..")
2022-06-25 10:23:54,980base_page.pyINFO定位元素('xpath', "//span[text()='审批管理']/..")
2022-06-25 10:23:56,496base_page.pyINFO点击元素('xpath', '//*[@id="popContainer"]/section/aside/div/ul/li[3]/ul/li[2]/a')
2022-06-25 10:23:56,496base_page.pyINFO定位元素('xpath', '//*[@id="popContainer"]/section/aside/div/ul/li[3]/ul/li[2]/a')
2022-06-25 10:23:57,347base_page.pyINFO点击元素('xpath', "//span[text()='工资付款 ']/../../label[3]")
2022-06-25 10:23:57,348base_page.pyINFO定位元素('xpath', "//span[text()='工资付款 ']/../../label[3]")
